fyear,ticker,statevariable,fixedcosts,couponrate,liabilities,equityobserved
12312005,EMN.N,1334,908.4553274,0.030281182,4161,4203.671857
12312006,EMN.N,1234,1024.591373,0.049232269,4103,4880.33195
12312007,EMN.N,1260,992.9025723,0.02750191,3927,4872.111686
12312008,EMN.N,1133,1020.888559,0.025751073,3728,2297.84939
12312009,EMN.N,1210,1081.294072,0.02123938,4002,4365.47485
12312010,EMN.N,1125,1282.149023,0.026611608,4359,5948.507731
12312011,EMN.N,1189,1415.815097,0.01937894,4283,5373.745355
12312012,EMN.N,1920,1783.039989,0.017046763,8682,10476.6613
12312013,EMN.N,2128,1984.020489,0.023337516,7970,12304.10094
12312014,EMN.N,2391,2299.475887,0.016263419,12482,11276.39601
12312015,EMN.N,2665,2601.733372,0.024137036,11559,9978.841385
12312016,EMN.N,2369,2799.827389,0.025901005,10849,11037.13323
12311998,ECL.N,1035.913,991.8929692,0.032286336,780.454,4681.749236
12311999,ECL.N,1170.394,1091.797619,0.029676065,823.93,5063.401
12312000,ECL.N,1216.901,1142.41548,0.051640328,957.004,5485.437855
12312001,ECL.N,1277.411,1183.203965,0.01913905,1644.648,5145.664932
12312002,ECL.N,1753.627,1633.404197,0.026730368,1766.156,6413.530118
12312003,ECL.N,2033.092,1849.080082,0.025862796,1907.837,7051.933406
12312004,ECL.N,2276.471,2086.771984,0.02288869,2118.033,9053.238619
12312005,ECL.N,2383.513,2220.890105,0.023188778,2147.418,9285.998387
12312006,ECL.N,2546.978,2398.855625,0.01872854,2739.135,11352.11813
12312007,ECL.N,2962.3,2702.37772,0.027089089,2787.1,12598.5742
12312008,ECL.N,3081.2,2930.987551,0.022227106,3185.3,8698.924707
12312009,ECL.N,2936.7,2917.930337,0.022415568,3011.3,10590.18072
12312010,ECL.N,3277.6,3085.569669,0.023948598,2739.2,11704.24635
12312011,ECL.N,3205.7,3370.686178,0.006597769,12443.6,17366.00543
12312012,ECL.N,5506.9,5257.691756,0.02502585,11412.2,21060.10476
12312013,ECL.N,6192.9,5702.745502,0.022311096,12227.1,31416.4729
